fighter,stance,win_loss_ratio,average_rounds,average_time_seconds,most_common_method,height_inches,weight_lbs,height_meters,weight_kg,past_fights
Scott Adams,Southpaw,,1.0,189.0,SUB Heel Hook,72.0,225.0,1.83,102.06,"[{'wl': 'win', 'opponent': 'Ian Freeman', 'method': 'SUB\n \n \n\n Heel Hook', 'round': '1', 'time': '3:09'}]"
Juan Adams,Orthodox,0.6666666666666666,1.8,155.0,KO/TKO Punches,77.0,265.0,1.96,120.2,"[{'wl': 'loss', 'opponent': 'Justin Tafa', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:59'}, {'wl': 'loss', 'opponent': 'Greg Hardy', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:45'}, {'wl': 'loss', 'opponent': 'Arjan Bhullar', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Chris de la Rocha', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '3', 'time': '0:58'}, {'wl': 'win', 'opponent': 'Shawn Teed', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '4:17'}]"
Anthony Adams,Orthodox,0.0,3.0,300.0,S-DEC,73.0,185.0,1.85,83.91,"[{'wl': 'loss', 'opponent': 'Impa Kasanganay', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Chibwikem Onyenegecha', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Zarrukh Adashev,Southpaw,0.3333333333333333,2.0,173.0,KO/TKO Punch,65.0,125.0,1.65,56.7,"[{'wl': 'loss', 'opponent': 'Ode Osbourne', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:01'}, {'wl': 'win', 'opponent': 'Ryan Benoit', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Sumudaerji', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Tyson Nam', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:32'}]"
Israel Adesanya,Switch,4.333333333333333,3.75,271.0,U-DEC,76.0,185.0,1.93,83.91,"[{'wl': 'loss', 'opponent': 'Sean Strickland', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Alex Pereira', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '2', 'time': '4:21'}, {'wl': 'loss', 'opponent': 'Alex Pereira', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '5', 'time': '2:01'}, {'wl': 'win', 'opponent': 'Jared Cannonier', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Robert Whittaker', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Marvin Vettori', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jan Blachowicz', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Paulo Costa', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '2', 'time': '3:59'}, {'wl': 'win', 'opponent': 'Yoel Romero', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Robert Whittaker', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '2', 'time': '3:33'}, {'wl': 'win', 'opponent': 'Kelvin Gastelum', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Anderson Silva', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Derek Brunson', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '1', 'time': '4:51'}, {'wl': 'win', 'opponent': 'Brad Tavares', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Marvin Vettori', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Rob Wilkinson', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '2', 'time': '3:37'}]"
Sam Adkins,Orthodox,1.0,1.25,101.0,KO/TKO Punches,75.0,225.0,1.91,102.06,"[{'wl': 'loss', 'opponent': 'David Abbott', 'method': 'SUB\n \n \n\n Forearm Choke', 'round': '1', 'time': '2:06'}, {'wl': 'win', 'opponent': 'Felix Lee Mitchell', 'method': 'U-DEC', 'round': '2', 'time': '3:00'}, {'wl': 'loss', 'opponent': 'Don Frye', 'method': 'KO/TKO', 'round': '1', 'time': '0:48'}, {'wl': 'win', 'opponent': 'Keith Mielke', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:50'}]"
Nick Agallar,Orthodox,0.0,2.0,134.0,KO/TKO Punch,68.0,155.0,1.73,70.31,"[{'wl': 'loss', 'opponent': 'Yves Edwards', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '2:14'}]"
Mariya Agapova,Southpaw,0.5,2.1666666666666665,159.0,SUB Rear Naked Choke,66.0,125.0,1.68,56.7,"[{'wl': 'loss', 'opponent': 'Gillian Robertson', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '2:19'}, {'wl': 'loss', 'opponent': 'Maryna Moroz', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '2', 'time': '3:27'}, {'wl': 'win', 'opponent': 'Sabina Mazo', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '3', 'time': '0:53'}, {'wl': 'loss', 'opponent': 'Shana Dobson', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '1:38'}, {'wl': 'win', 'opponent': 'Hannah Cifers', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '1', 'time': '2:42'}, {'wl': 'loss', 'opponent': 'Tracy Cortez', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Marcelo Aguiar,Orthodox,0.0,1.0,274.0,KO/TKO,70.0,170.0,1.78,77.11,"[{'wl': 'loss', 'opponent': 'Matt Hughes', 'method': 'KO/TKO', 'round': '1', 'time': '4:34'}]"
Fabio Aguiar,,,,,,72.0,185.0,1.83,83.91,[]
