fighter,stance,win_loss_ratio,average_rounds,average_time_seconds,most_common_method,height_inches,weight_lbs,height_meters,weight_kg,past_fights
Sheila Gaff,Orthodox,0.0,1.0,187.0,KO/TKO Elbows,65.0,135.0,1.65,61.23,"[{'wl': 'loss', 'opponent': 'Amanda Nunes', 'method': 'KO/TKO\n \n \n\n Elbows', 'round': '1', 'time': '2:08'}, {'wl': 'loss', 'opponent': 'Sara McMann', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '4:06'}]"
Muin Gafurov,Southpaw,0.3333333333333333,2.5,243.0,U-DEC,67.0,135.0,1.7,61.23,"[{'wl': 'win', 'opponent': 'Kyung Ho Kang', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Said Nurmagomedov', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '1:13'}, {'wl': 'loss', 'opponent': 'John Castaneda', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Chad Anheliger', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Mitch Gagnon,Southpaw,1.0,2.25,209.0,SUB Rear Naked Choke,65.0,135.0,1.65,61.23,"[{'wl': 'loss', 'opponent': 'Cole Smith', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Matthew Lopez', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Renan Barao', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '3', 'time': '3:53'}, {'wl': 'win', 'opponent': 'Roman Salazar', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '2:06'}, {'wl': 'win', 'opponent': 'Tim Gorman', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Dustin Kimura', 'method': 'SUB\n \n\n\n Guillotine Choke', 'round': '1', 'time': '4:05'}, {'wl': 'win', 'opponent': 'Walel Watson', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '1:09'}, {'wl': 'loss', 'opponent': 'Bryan Caraway', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '3', 'time': '1:39'}]"
Brandon Gaines,,0.0,2.0,88.0,SUB Arm Triangle,75.0,185.0,1.91,83.91,"[{'wl': 'loss', 'opponent': 'Trey Houston', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '2', 'time': '1:28'}]"
Travis Galbraith,Orthodox,0.0,1.3333333333333333,126.0,KO/TKO Elbows,72.0,170.0,1.83,77.11,"[{'wl': 'loss', 'opponent': 'Rafael Cavalcante', 'method': 'KO/TKO\n \n \n\n Knees', 'round': '1', 'time': '3:00'}, {'wl': 'loss', 'opponent': 'Kazuhiro Nakamura', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '2', 'time': '1:16'}, {'wl': 'loss', 'opponent': 'Georges St-Pierre', 'method': 'KO/TKO\n \n \n\n Elbows', 'round': '1', 'time': '2:03'}]"
Dave Galera,Orthodox,0.0,3.0,300.0,U-DEC,71.0,135.0,1.8,61.23,"[{'wl': 'loss', 'opponent': 'Royston Wee', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Zelg Galesic,Orthodox,0.6666666666666666,1.0,138.0,SUB Armbar,74.0,185.0,1.88,83.91,"[{'wl': 'loss', 'opponent': 'Kazushi Sakuraba', 'method': 'SUB\n \n \n\n Kneebar', 'round': '1', 'time': '1:40'}, {'wl': 'loss', 'opponent': 'Jacare Souza', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '1:27'}, {'wl': 'win', 'opponent': 'Taiei Kin', 'method': 'KO/TKO', 'round': '1', 'time': '1:05'}, {'wl': 'win', 'opponent': 'Magomed Sultanakhmedov', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '1:40'}, {'wl': 'loss', 'opponent': 'Makoto Takimoto', 'method': 'SUB\n \n \n\n Straight Armbar', 'round': '1', 'time': '5:40'}]"
Mickey Gall,Switch,1.0,2.0,208.0,SUB Rear Naked Choke,74.0,170.0,1.88,77.11,"[{'wl': 'loss', 'opponent': 'Bassil Hafez', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Mike Malott', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '3:41'}, {'wl': 'loss', 'opponent': 'Alex Morono', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Jordan Williams', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '2:57'}, {'wl': 'loss', 'opponent': 'Mike Perry', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Salim Touahri', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Diego Sanchez', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '4:13'}, {'wl': 'win', 'opponent': 'George Sullivan', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '1:09'}, {'wl': 'loss', 'opponent': 'Randy Brown', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Sage Northcutt', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '1:40'}, {'wl': 'win', 'opponent': 'CM Punk', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '2:14'}, {'wl': 'win', 'opponent': 'Mike Jackson', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '0:45'}]"
Daniel Gallemore,,,,,,77.0,265.0,1.96,120.2,[]
Tom Gallicchio,Southpaw,0.0,3.0,300.0,U-DEC,70.0,170.0,1.78,77.11,"[{'wl': 'loss', 'opponent': 'James Krause', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Turrell Galloway,,,1.0,81.0,SUB Rear Naked Choke,63.0,145.0,1.6,65.77,"[{'wl': 'win', 'opponent': 'Brett Tillis', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '1:21'}]"
Eric Galvan,,,3.0,300.0,U-DEC,,155.0,,70.31,"[{'wl': 'win', 'opponent': 'Jeremy Malaterre', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Andre Galvao,Orthodox,1.5,2.0,265.0,S-DEC,67.0,168.0,1.7,76.2,"[{'wl': 'loss', 'opponent': 'Tyron Woodley', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:48'}, {'wl': 'win', 'opponent': 'Jorge Patino', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '2:45'}, {'wl': 'win', 'opponent': 'Luke Stewart', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jason High', 'method': 'S-DEC', 'round': '2', 'time': '5:00'}, {'wl': 'win', 'opponent': 'John Alessio', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '7:34'}]"
Marcos Galvao,Orthodox,0.0,1.5,73.0,KO/TKO Punches,67.0,135.0,1.7,61.23,"[{'wl': 'loss', 'opponent': 'Damacio Page', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:18'}, {'wl': 'loss', 'opponent': 'Brian Bowles', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '2:09'}]"
Lucas Gamaza,,0.0,1.0,206.0,KO/TKO Punches,,170.0,,77.11,"[{'wl': 'loss', 'opponent': 'James Terry', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '3:26'}]"
Joey Gambino,Orthodox,0.0,2.0,233.0,SUB Guillotine Choke,67.0,145.0,1.7,65.77,"[{'wl': 'loss', 'opponent': 'Diego Brandao', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Steven Siler', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '2:47'}]"
Manvel Gamburyan,Orthodox,1.0,2.388888888888889,213.0,U-DEC,65.0,135.0,1.65,61.23,"[{'wl': 'loss', 'opponent': 'Johnny Eduardo', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '0:46'}, {'wl': 'loss', 'opponent': 'John Dodson', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:37'}, {'wl': 'win', 'opponent': 'Scott Jorgensen', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Cody Gibson', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '2', 'time': '4:56'}, {'wl': 'loss', 'opponent': 'Nik Lentz', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'nc', 'opponent': 'Dennis Siver', 'method': 'Overturned', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Cole Miller', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Michihiro Omigawa', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Diego Nunes', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Tyson Griffin', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jose Aldo', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '1:32'}, {'wl': 'win', 'opponent': 'Mike Brown', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '1', 'time': '2:22'}, {'wl': 'win', 'opponent': 'Leonard Garcia', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'John Franchi', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Thiago Tavares', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Rob Emerson', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:12'}, {'wl': 'win', 'opponent': 'Jeff Cox', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '1:41'}, {'wl': 'win', 'opponent': 'Nate Mohr', 'method': 'SUB\n \n \n\n Ankle Lock', 'round': '1', 'time': '1:31'}, {'wl': 'loss', 'opponent': 'Nate Diaz', 'method': 'SUB\n \n \n\n Injury', 'round': '2', 'time': '0:20'}]"
Mateusz Gamrot,Southpaw,3.5,2.6666666666666665,219.0,U-DEC,70.0,155.0,1.78,70.31,"[{'wl': 'win', 'opponent': 'Rafael Dos Anjos', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Rafael Fiziev', 'method': 'KO/TKO', 'round': '2', 'time': '2:03'}, {'wl': 'win', 'opponent': 'Jalin Turner', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Beneil Dariush', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Arman Tsarukyan', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Diego Ferreira', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '2', 'time': '3:26'}, {'wl': 'win', 'opponent': 'Jeremy Stephens', 'method': 'SUB\n \n\n\n Kimura', 'round': '1', 'time': '1:05'}, {'wl': 'win', 'opponent': 'Scott Holtzman', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '2', 'time': '1:22'}, {'wl': 'loss', 'opponent': 'Guram Kutateladze', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Shamil Gamzatov,Orthodox,1.0,2.0,255.0,S-DEC,74.0,205.0,1.88,92.99,"[{'wl': 'loss', 'opponent': 'Michal Oleksiejczuk', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '3:31'}, {'wl': 'win', 'opponent': 'Klidson Abreu', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Ariel Gandulla,Orthodox,1.0,2.0,177.0,S-DEC,71.0,205.0,1.8,92.99,"[{'wl': 'loss', 'opponent': 'Doug Marshall', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '0:55'}, {'wl': 'win', 'opponent': 'Gary Padilla', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Ciryl Gane,Orthodox,,,,,76.0,245.0,1.93,111.13,[]
Sean Gannon,Southpaw,0.0,1.0,254.0,KO/TKO Punches,75.0,265.0,1.91,120.2,"[{'wl': 'loss', 'opponent': 'Branden Lee Hinkle', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '4:14'}]"
Eduardo Garagorri,Orthodox,0.5,2.333333333333333,226.0,SUB Rear Naked Choke,69.0,145.0,1.75,65.77,"[{'wl': 'loss', 'opponent': 'Darren Elkins', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '3', 'time': '2:22'}, {'wl': 'loss', 'opponent': 'Ricardo Ramos', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '3:57'}, {'wl': 'win', 'opponent': 'Humberto Bandenay', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Cody Garbrandt,Orthodox,1.5,2.1333333333333333,242.0,KO/TKO Punches,68.0,125.0,1.73,56.7,"[{'wl': 'loss', 'opponent': 'Deiveson Figueiredo', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '4:02'}, {'wl': 'win', 'opponent': 'Brian Kelleher', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '3:42'}, {'wl': 'win', 'opponent': 'Trevin Jones', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Kai Kara-France', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '3:21'}, {'wl': 'loss', 'opponent': 'Rob Font', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Raphael Assuncao', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '2', 'time': '4:59'}, {'wl': 'loss', 'opponent': 'Pedro Munhoz', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '1', 'time': '4:52'}, {'wl': 'loss', 'opponent': 'TJ Dillashaw', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '4:10'}, {'wl': 'loss', 'opponent': 'TJ Dillashaw', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '2:41'}, {'wl': 'win', 'opponent': 'Dominick Cruz', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Takeya Mizugaki', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:48'}, {'wl': 'win', 'opponent': 'Thomas Almeida', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '1', 'time': '2:53'}, {'wl': 'win', 'opponent': 'Augusto Mendes', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '4:18'}, {'wl': 'win', 'opponent': 'Henry Briones', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Marcus Brimage', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '4:50'}]"
Leonard Garcia,Orthodox,0.6,2.625,277.0,U-DEC,70.0,145.0,1.78,65.77,"[{'wl': 'loss', 'opponent': 'Cody McKenzie', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Max Holloway', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Matt Grice', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Nam Phan', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Chan Sung Jung', 'method': 'SUB\n \n \n\n Twister', 'round': '2', 'time': '4:59'}, {'wl': 'win', 'opponent': 'Nam Phan', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Mark Hominick', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Chan Sung Jung', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'draw', 'opponent': 'George Roop', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Manvel Gamburyan', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Jameel Massouh', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Mike Brown', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '1', 'time': '1:57'}, {'wl': 'win', 'opponent': 'Jens Pulver', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:12'}, {'wl': 'win', 'opponent': 'Hiroyuki Takaya', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:31'}, {'wl': 'loss', 'opponent': 'Cole Miller', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Allen Berube', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '4:22'}, {'wl': 'loss', 'opponent': 'Roger Huerta', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Edgar Garcia,Orthodox,0.25,1.4,206.0,KO/TKO Punches,70.0,170.0,1.78,77.11,"[{'wl': 'loss', 'opponent': 'Sheldon Westcott', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '3:12'}, {'wl': 'loss', 'opponent': 'Hector Urbina', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '3:38'}, {'wl': 'loss', 'opponent': 'DaMarques Johnson', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '1', 'time': '4:03'}, {'wl': 'loss', 'opponent': 'Brad Blackburn', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Hiromitsu Miura', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:18'}]"
Alejandro Garcia,,0.0,3.0,137.0,SUB Triangle Choke,67.0,145.0,1.7,65.77,"[{'wl': 'loss', 'opponent': 'Nate Diaz', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '3', 'time': '2:17'}]"
Alex Garcia,Orthodox,1.0,2.5,252.0,U-DEC,69.0,170.0,1.75,77.11,"[{'wl': 'loss', 'opponent': 'Court McGee', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Ryan LaFlare', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Muslim Salikhov', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '3:22'}, {'wl': 'loss', 'opponent': 'Tim Means', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Mike Pyle', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '1', 'time': '3:34'}, {'wl': 'loss', 'opponent': 'Sean Strickland', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '4:25'}, {'wl': 'win', 'opponent': 'Mike Swick', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Neil Magny', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Sean Spencer', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Ben Wall', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:43'}]"
Nick Garcia,,,,,,64.0,125.0,1.63,56.7,[]
Steve Garcia,Southpaw,2.5,1.7142857142857142,135.0,KO/TKO Elbows,72.0,155.0,1.83,70.31,"[{'wl': 'win', 'opponent': 'Melquizael Costa', 'method': 'KO/TKO\n \n \n\n Elbows', 'round': '2', 'time': '1:01'}, {'wl': 'win', 'opponent': 'Shayilan Nuerdanbieke', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '0:36'}, {'wl': 'win', 'opponent': 'Chase Hooper', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '1', 'time': '1:32'}, {'wl': 'loss', 'opponent': 'Maheshate', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:14'}, {'wl': 'win', 'opponent': 'Charlie Ontiveros', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '1:51'}, {'wl': 'loss', 'opponent': 'Luis Pena', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Desmond Torres', 'method': 'KO/TKO\n \n \n\n Elbows', 'round': '1', 'time': '4:35'}]"
Elias Garcia,Southpaw,0.0,2.5,210.0,SUB Rear Naked Choke,65.0,125.0,1.65,56.7,"[{'wl': 'loss', 'opponent': 'Kai Kara-France', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Mark De La Rosa', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '2:00'}]"
Rafa Garcia,Orthodox,1.3333333333333333,2.857142857142857,298.0,U-DEC,67.0,155.0,1.7,70.31,"[{'wl': 'win', 'opponent': 'Clay Guida', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Maheshate', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Drakkar Klose', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Jesse Ronson', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '4:50'}, {'wl': 'win', 'opponent': 'Natan Levy', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Chris Gruetzemacher', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Nasrat Haqparast', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Fernie Garcia,Orthodox,0.25,2.4,232.0,U-DEC,67.0,135.0,1.7,61.23,"[{'wl': 'loss', 'opponent': 'Hyder Amil', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '2:12'}, {'wl': 'loss', 'opponent': 'Rinya Nakamura', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Brady Hiestand', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Journey Newson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Joshua Weems', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '2:10'}]"
Rulon Gardner,Orthodox,,3.0,300.0,U-DEC,75.0,265.0,1.91,120.2,"[{'wl': 'win', 'opponent': 'Hidehiko Yoshida', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
David Gardner,Orthodox,0.0,1.0,358.0,SUB Rear Naked Choke,71.0,155.0,1.8,70.31,"[{'wl': 'loss', 'opponent': 'Shinya Aoki', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '5:58'}]"
Ian Garry,Orthodox,,2.4285714285714284,276.0,U-DEC,75.0,170.0,1.91,77.11,"[{'wl': 'win', 'opponent': 'Geoff Neal', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Neil Magny', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Daniel Rodriguez', 'method': 'KO/TKO\n \n\n\n Kick', 'round': '1', 'time': '2:57'}, {'wl': 'win', 'opponent': 'Song Kenan', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '4:22'}, {'wl': 'win', 'opponent': 'Gabe Green', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Darian Weeks', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Jordan Williams', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '4:59'}]"
Pablo Garza,Orthodox,,,,,73.0,145.0,1.85,65.77,[]
Azamat Gashimov,Orthodox,0.0,1.5,115.0,SUB Armbar,66.0,125.0,1.68,56.7,"[{'wl': 'loss', 'opponent': 'John Lineker', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '1:07'}, {'wl': 'loss', 'opponent': 'Ivan Menjivar', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '2:44'}]"
Brian Gassaway,Orthodox,0.0,1.5,203.0,KO/TKO Punches,73.0,170.0,1.85,77.11,"[{'wl': 'loss', 'opponent': 'John Alessio', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '4:50'}, {'wl': 'loss', 'opponent': 'Diego Sanchez', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '1:56'}]"
