fighter,stance,win_loss_ratio,average_rounds,average_time_seconds,most_common_method,height_inches,weight_lbs,height_meters,weight_kg
Sultan Aliev,Orthodox,1.0,2.25,265.0,S-DEC,71.0,170.0,1.8,77.11
John Allan,Orthodox,0.0,3.6666666666666665,373.0,S-DEC,73.0,205.0,1.85,92.99
George Allen,Open Stance,0.0,2.0,300.0,U-DEC,74.0,205.0,1.88,92.99
Arnold Allen,Southpaw,5.0,2.9166666666666665,235.0,U-DEC,68.0,145.0,1.73,65.77
Brendan Allen,Orthodox,6.5,2.2,225.0,SUB Rear Naked Choke,74.0,185.0,1.88,83.91
Ben Alloway,Orthodox,,,,None,71.0,170.0,1.8,77.11
Ricardo Almeida,Orthodox,1.6,2.230769230769231,269.0,U-DEC,72.0,170.0,1.83,77.11
Magno Almeida,,0.0,2.0,250.0,KO/TKO,72.0,155.0,1.83,70.31
Thomas Almeida,Southpaw,,,,None,67.0,145.0,1.7,65.77
Ericka Almeida,Orthodox,0.0,3.0,300.0,U-DEC,66.0,115.0,1.68,52.16
Estefani Almeida,Orthodox,0.0,3.0,300.0,U-DEC,64.0,125.0,1.63,56.7
Jailton Almeida,Orthodox,8.0,1.7777777777777777,190.0,SUB Rear Naked Choke,75.0,205.0,1.91,92.99
Lucas Almeida,Orthodox,0.6666666666666666,2.4,195.0,U-DEC,71.0,155.0,1.8,70.31
Mauricio Alonso,,,,,None,74.0,170.0,1.88,77.11
Sarah Alpar,Southpaw,0.5,2.6666666666666665,245.0,KO/TKO Knee,64.0,135.0,1.63,61.23
Ali AlQaisi,Orthodox,0.0,3.0,300.0,S-DEC,66.0,135.0,1.68,61.23
Rico Altamirano,,,3.0,300.0,U-DEC,70.0,170.0,1.78,77.11
Victor Altamirano,Switch,1.0,2.6666666666666665,286.0,S-DEC,68.0,125.0,1.73,56.7
Mike Altman,Orthodox,0.0,1.0,231.0,KO/TKO Punch,70.0,185.0,1.78,83.91
Sean Alvarez,Orthodox,0.0,2.0,106.0,KO/TKO Punches,72.0,235.0,1.83,106.59
Eddie Alvarez,Orthodox,2.0,2.1666666666666665,292.0,KO/TKO Punches,69.0,155.0,1.75,70.31
