fighter,stance,win_loss_ratio,average_rounds,average_time_seconds,most_common_method,height_inches,weight_lbs,height_meters,weight_kg
Pedro Falcao,Orthodox,1.0,3.0,267.0,KO/TKO Punches,66.0,135.0,1.68,61.23
Brodie Farber,Orthodox,0.0,2.0,198.0,KO/TKO Kick,73.0,170.0,1.85,77.11
Joao Paulo Faria,,,,,None,69.0,155.0,1.75,70.31
Kalindra Faria,Switch,0.0,1.6666666666666667,257.0,S-DEC,67.0,125.0,1.7,56.7
Chance Farrar,Southpaw,0.0,1.0,149.0,KO/TKO Punch,69.0,145.0,1.75,65.77
Rico Farrington,Southpaw,0.0,3.0,300.0,U-DEC,76.0,170.0,1.93,77.11
Kelly Faszholz,Orthodox,0.0,3.0,297.0,S-DEC,68.0,135.0,1.73,61.23
Rodney Faverus,Southpaw,0.0,2.0,300.0,U-DEC,72.0,215.0,1.83,97.52
Paul Felder,Orthodox,1.5,2.8666666666666667,265.0,S-DEC,71.0,155.0,1.8,70.31
Carlos Felipe,Orthodox,1.5,3.0,300.0,S-DEC,72.0,245.0,1.83,111.13
JP Felty,,0.0,2.0,271.0,SUB Triangle Choke,,170.0,,77.11
Kevin Ferguson,Orthodox,2.0,1.8333333333333333,113.0,KO/TKO Punches,74.0,235.0,1.88,106.59
Rhadi Ferguson,,,2.0,120.0,SUB Kneebar,67.0,205.0,1.7,92.99
Tony Ferguson,Orthodox,,,,None,71.0,155.0,1.8,70.31
Josh Ferguson,Orthodox,0.0,3.0,161.0,SUB Rear Naked Choke,65.0,125.0,1.65,56.7
CJ Fernandes,,,,,U-DEC,74.0,170.0,1.88,77.11
Bibiano Fernandes,Orthodox,9.0,1.7,207.0,U-DEC,67.0,139.0,1.7,63.05
Alexandre Ferreira,Orthodox,0.0,1.0,140.0,KO/TKO Elbows,67.0,205.0,1.7,92.99
Cezar Ferreira,Southpaw,1.5,2.2666666666666666,245.0,U-DEC,73.0,185.0,1.85,83.91
Diego Ferreira,Orthodox,2.0,2.2,205.0,U-DEC,69.0,155.0,1.75,70.31
Erisson Ferreira da Silva,Orthodox,1.0,3.0,208.0,SUB Guillotine Choke,66.0,125.0,1.68,56.7
Scott Ferrozzo,Orthodox,1.5,1.2,270.0,KO/TKO Punches,71.0,323.0,1.8,146.51
Timo Feucht,Orthodox,,,,None,75.0,205.0,1.91,92.99
Andre Fialho,Orthodox,0.4,2.142857142857143,181.0,KO/TKO Kick,72.0,170.0,1.83,77.11
Drew Fickett,Orthodox,1.25,1.8888888888888888,193.0,SUB Rear Naked Choke,70.0,155.0,1.78,70.31
Scott Fiedler,Orthodox,0.0,1.0,145.0,KO/TKO Punches,76.0,235.0,1.93,106.59
Ron Fields,Orthodox,0.0,1.0,182.0,KO/TKO Punches,74.0,200.0,1.88,90.72
Deiveson Figueiredo,Orthodox,4.0,2.7333333333333334,263.0,U-DEC,65.0,125.0,1.65,56.7
Francisco Figueiredo,Southpaw,1.0,2.0,238.0,U-DEC,66.0,135.0,1.68,61.23
Anthony Figueroa,Orthodox,1.0,2.1666666666666665,211.0,U-DEC,64.0,135.0,1.63,61.23
Edwin Figueroa,Orthodox,0.5,2.6666666666666665,251.0,U-DEC,67.0,135.0,1.7,61.23
Paulo Filho,Southpaw,11.0,1.5,274.0,SUB Armbar,68.0,185.0,1.73,83.91
Andre Fili,Orthodox,1.1,2.4285714285714284,240.0,U-DEC,71.0,145.0,1.8,65.77
Mirko Filipovic,Southpaw,2.8,1.9736842105263157,225.0,KO/TKO Punches,74.0,230.0,1.88,104.33
Brady Fink,Orthodox,0.0,1.0,248.0,SUB Guillotine Choke,72.0,183.0,1.83,83.01
Jesse Finney,,,1.0,158.0,SUB Guillotine Choke,72.0,170.0,1.83,77.11
Jan Finney,Orthodox,0.0,2.5,133.0,KO/TKO Knee,68.0,135.0,1.73,61.23
Luigi Fioravanti,Orthodox,0.8,2.2222222222222223,272.0,U-DEC,68.0,170.0,1.73,77.11
Manon Fiorot,Orthodox,,3.0,275.0,U-DEC,67.0,125.0,1.7,56.7
Luiz Firmino,Orthodox,1.3333333333333333,1.7142857142857142,304.0,U-DEC,66.0,154.0,1.68,69.85
Spencer Fisher,Southpaw,1.125,2.4705882352941178,268.0,U-DEC,67.0,155.0,1.7,70.31
Chris Fishgold,Orthodox,0.3333333333333333,2.0,221.0,SUB Anaconda Choke,68.0,145.0,1.73,65.77
Bryanna Fissori,,,,,None,64.0,145.0,1.63,65.77
Jon Fitch,Orthodox,5.0,2.9444444444444446,279.0,U-DEC,72.0,170.0,1.83,77.11
Isi Fitikefu,,,,,None,70.0,205.0,1.78,92.99
Rafael Fiziev,Switch,2.0,2.6666666666666665,201.0,U-DEC,68.0,155.0,1.73,70.31
Colin Fletcher,Orthodox,0.0,3.0,300.0,U-DEC,74.0,155.0,1.88,70.31
AJ Fletcher,Switch,0.6666666666666666,2.2,222.0,U-DEC,70.0,170.0,1.78,77.11
Jimmy Flick,Orthodox,1.0,2.0,184.0,SUB Arm Triangle,67.0,125.0,1.7,56.7
Luke Flores,Southpaw,0.0,1.5,233.0,SUB Arm Triangle,72.0,155.0,1.83,70.31
Ty Flores,Switch,0.0,3.0,300.0,U-DEC,75.0,205.0,1.91,92.99
Alejandro Flores,Orthodox,0.0,2.0,175.0,SUB Guillotine Choke,70.0,145.0,1.78,65.77
Kenny Florian,Southpaw,2.6,2.388888888888889,215.0,SUB Rear Naked Choke,70.0,145.0,1.78,65.77
Cody Floyd,,,3.0,41.0,KO/TKO,,,,
Bobby Flynn,,,,,None,,170.0,,77.11
Caros Fodor,Orthodox,,,,None,69.0,155.0,1.75,70.31
Mal Foki,Orthodox,0.0,1.0,21.0,KO/TKO Punch,67.0,220.0,1.7,99.79
Matt Foki,Orthodox,0.0,1.0,196.0,SUB Rear Naked Choke,67.0,220.0,1.7,99.79
AJ Fonseca,,0.0,3.0,300.0,U-DEC,64.0,145.0,1.63,65.77
Rob Font,Orthodox,1.4285714285714286,2.7058823529411766,258.0,U-DEC,68.0,135.0,1.73,61.23
Claudionor Fontinelle,Orthodox,0.0,1.0,275.0,KO/TKO Punch,65.0,185.0,1.65,83.91
Jesse Forbes,Southpaw,0.0,1.5,227.0,SUB Guillotine Choke,74.0,185.0,1.88,83.91
Sterling Ford,,,,,None,70.0,155.0,1.78,70.31
Codale Ford,,,,,None,69.0,170.0,1.75,77.11
Jussier Formiga,Orthodox,1.2857142857142858,2.375,265.0,U-DEC,65.0,125.0,1.65,56.7
Renee Forte,Orthodox,0.3333333333333333,2.5,227.0,U-DEC,67.0,155.0,1.7,70.31
Marcel Fortuna,Orthodox,0.5,2.3333333333333335,263.0,U-DEC,73.0,205.0,1.85,92.99
Brian Foster,Orthodox,1.5,1.6,114.0,KO/TKO Punches,69.0,170.0,1.75,77.11
Xavier Foupa-Pokam,Open Stance,0.0,2.0,168.0,KO/TKO Punches,73.0,185.0,1.85,83.91
Mason Fowler,,,,,None,71.0,170.0,1.8,77.11
Brandon Foxworth,Orthodox,0.0,2.0,197.0,KO/TKO Punches,71.0,145.0,1.8,65.77
Hermes Franca,Orthodox,1.4,2.8333333333333335,236.0,U-DEC,66.0,155.0,1.68,70.31
Glaico Franca Moreira,Orthodox,0.5,3.0,295.0,U-DEC,72.0,155.0,1.83,70.31
Francisco France,,,1.0,87.0,SUB Rear Naked Choke,72.0,205.0,1.83,92.99
John Franchi,Orthodox,0.5,3.0,296.0,SUB Guillotine Choke,66.0,145.0,1.68,65.77
Rich Franklin,Southpaw,3.0,2.0357142857142856,193.0,KO/TKO Punches,73.0,185.0,1.85,83.91
Zoila Frausto,Orthodox,1.0,2.5,274.0,SUB Armbar,64.0,135.0,1.63,61.23
Stephanie Frausto,Orthodox,0.0,1.0,168.0,KO/TKO Punch,62.0,115.0,1.57,52.16
Zane Frazier,Orthodox,0.0,1.0,227.0,KO/TKO Punches,77.0,250.0,1.96,113.4
Gary Frazier,Orthodox,0.0,2.0,219.0,KO/TKO Punches,72.0,245.0,1.83,111.13
Justin Frazier,Southpaw,0.0,1.0,216.0,SUB Armbar,72.0,265.0,1.83,120.2
Ian Freeman,Orthodox,1.5,2.2,255.0,SUB Heel Hook,71.0,225.0,1.8,102.06
Jason Freeman,,,1.0,112.0,KO/TKO,74.0,225.0,1.88,102.06
Willamy Freire,,0.0,3.0,300.0,S-DEC,68.0,155.0,1.73,70.31
Patricio Freire,,,,,None,65.0,145.0,1.65,65.77
Patricky Freire,,,,,None,67.0,155.0,1.7,70.31
JeremyFreitag,,0.0,2.0,166.0,KO/TKO Punches,73.0,205.0,1.85,92.99
Rafael Freitas,Orthodox,0.0,1.0,240.0,KO/TKO Kick,,205.0,,92.99
Donavon Frelow,Orthodox,0.0,3.0,300.0,S-DEC,67.0,135.0,1.7,61.23
Clay French,Southpaw,0.0,1.0,237.0,SUB Triangle Choke,67.0,161.0,1.7,73.03
Mike French,,0.0,3.0,300.0,U-DEC,70.0,145.0,1.78,65.77
Matt Frevola,Orthodox,1.5,2.0,216.0,KO/TKO Punch,69.0,155.0,1.75,70.31
Jinh Yu Frey,Southpaw,0.3333333333333333,2.75,249.0,U-DEC,63.0,115.0,1.6,52.16
Artem Frolov,,,,,None,70.0,185.0,1.78,83.91
Sarah Frota,Southpaw,0.5,2.0,253.0,S-DEC,66.0,125.0,1.68,56.7
Don Frye,Orthodox,2.4,1.2352941176470589,312.0,KO/TKO Punches,73.0,219.0,1.85,99.34
Tony Fryklund,Orthodox,0.4,1.5714285714285714,115.0,KO/TKO Punch,72.0,185.0,1.83,83.91
Jesse Fujarczyk,Southpaw,0.0,1.0,116.0,KO/TKO Punches,76.0,225.0,1.93,102.06
Katsuhisa Fujii,Orthodox,1.0,1.5,216.0,KO/TKO Punches,72.0,205.0,1.83,92.99
Megumi Fujii,,,1.0,75.0,SUB Armbar,63.0,113.0,1.6,51.26
Kazuyuki Fujita,Orthodox,1.0,1.2857142857142858,323.0,KO/TKO,72.0,235.0,1.83,106.59
Keisuke Fujiwara,Switch,0.0,2.3333333333333335,300.0,U-DEC,66.0,139.0,1.68,63.05
Riki Fukuda,Southpaw,1.0,2.8333333333333335,300.0,U-DEC,72.0,185.0,1.83,83.91
Masio Fullen,Orthodox,0.5,2.3333333333333335,233.0,S-DEC,70.0,145.0,1.78,65.77
Travis Fulton,Orthodox,0.5,2.0,329.0,U-DEC,72.0,240.0,1.83,108.86
Sam Fulton,,0.0,1.0,127.0,SUB Injury,,,,
Masakatsu Funaki,Southpaw,0.5,1.0,164.0,SUB Kimura,72.0,185.0,1.83,83.91
Ricardo Funch,Southpaw,0.0,2.25,170.0,SUB Guillotine Choke,70.0,170.0,1.78,77.11
Katsuaki Furuki,,0.0,3.0,300.0,U-DEC,72.0,168.0,1.83,76.2
James Gabert,,0.0,3.0,300.0,U-DEC,,178.0,,80.74
Gustavo Gabriel,Orthodox,0.0,2.0,277.0,SUB Rear Naked Choke,66.0,125.0,1.68,56.7
Claudia Gadelha,Orthodox,1.4,3.0,290.0,U-DEC,64.0,115.0,1.63,52.16
Alavutdin Gadjiev,Orthodox,0.0,1.0,182.0,SUB Armbar,74.0,185.0,1.88,83.91
Justin Gaethje,Orthodox,1.6,2.5384615384615383,194.0,KO/TKO Punch,71.0,155.0,1.8,70.31
Sheila Gaff,Orthodox,0.0,1.0,187.0,KO/TKO Elbows,65.0,135.0,1.65,61.23
Muin Gafurov,Southpaw,0.3333333333333333,2.5,243.0,U-DEC,67.0,135.0,1.7,61.23
Mitch Gagnon,Southpaw,1.0,2.25,209.0,SUB Rear Naked Choke,65.0,135.0,1.65,61.23
Brandon Gaines,,0.0,2.0,88.0,SUB Arm Triangle,75.0,185.0,1.91,83.91
Travis Galbraith,Orthodox,0.0,1.3333333333333333,126.0,KO/TKO Elbows,72.0,170.0,1.83,77.11
Dave Galera,Orthodox,0.0,3.0,300.0,U-DEC,71.0,135.0,1.8,61.23
Zelg Galesic,Orthodox,0.6666666666666666,1.0,138.0,SUB Armbar,74.0,185.0,1.88,83.91
Mickey Gall,Switch,1.0,2.0,208.0,SUB Rear Naked Choke,74.0,170.0,1.88,77.11
Daniel Gallemore,,,,,None,77.0,265.0,1.96,120.2
Tom Gallicchio,Southpaw,0.0,3.0,300.0,U-DEC,70.0,170.0,1.78,77.11
Turrell Galloway,,,1.0,81.0,SUB Rear Naked Choke,63.0,145.0,1.6,65.77
Eric Galvan,,,3.0,300.0,U-DEC,,155.0,,70.31
Andre Galvao,Orthodox,1.5,2.0,265.0,S-DEC,67.0,168.0,1.7,76.2
Marcos Galvao,Orthodox,0.0,1.5,73.0,KO/TKO Punches,67.0,135.0,1.7,61.23
Lucas Gamaza,,0.0,1.0,206.0,KO/TKO Punches,,170.0,,77.11
Joey Gambino,Orthodox,0.0,2.0,233.0,SUB Guillotine Choke,67.0,145.0,1.7,65.77
Manvel Gamburyan,Orthodox,1.0,2.388888888888889,213.0,U-DEC,65.0,135.0,1.65,61.23
Mateusz Gamrot,Southpaw,3.5,2.6666666666666665,219.0,U-DEC,70.0,155.0,1.78,70.31
Shamil Gamzatov,Orthodox,1.0,2.0,255.0,S-DEC,74.0,205.0,1.88,92.99
Ariel Gandulla,Orthodox,1.0,2.0,177.0,S-DEC,71.0,205.0,1.8,92.99
Ciryl Gane,Orthodox,,,,None,76.0,245.0,1.93,111.13
Sean Gannon,Southpaw,0.0,1.0,254.0,KO/TKO Punches,75.0,265.0,1.91,120.2
Eduardo Garagorri,Orthodox,0.5,2.3333333333333335,226.0,SUB Rear Naked Choke,69.0,145.0,1.75,65.77
Cody Garbrandt,Orthodox,1.5,2.1333333333333333,242.0,KO/TKO Punches,68.0,125.0,1.73,56.7
Leonard Garcia,Orthodox,0.6,2.625,277.0,U-DEC,70.0,145.0,1.78,65.77
Edgar Garcia,Orthodox,0.25,1.4,206.0,KO/TKO Punches,70.0,170.0,1.78,77.11
Alejandro Garcia,,0.0,3.0,137.0,SUB Triangle Choke,67.0,145.0,1.7,65.77
Alex Garcia,Orthodox,1.0,2.5,252.0,U-DEC,69.0,170.0,1.75,77.11
Nick Garcia,,,,,None,64.0,125.0,1.63,56.7
Steve Garcia,Southpaw,2.5,1.7142857142857142,135.0,KO/TKO Elbows,72.0,155.0,1.83,70.31
Elias Garcia,Southpaw,0.0,2.5,210.0,SUB Rear Naked Choke,65.0,125.0,1.65,56.7
Rafa Garcia,Orthodox,1.3333333333333333,2.857142857142857,298.0,U-DEC,67.0,155.0,1.7,70.31
Fernie Garcia,Orthodox,0.25,2.4,232.0,U-DEC,67.0,135.0,1.7,61.23
Rulon Gardner,Orthodox,,3.0,300.0,U-DEC,75.0,265.0,1.91,120.2
David Gardner,Orthodox,0.0,1.0,358.0,SUB Rear Naked Choke,71.0,155.0,1.8,70.31
Ian Garry,Orthodox,,2.4285714285714284,276.0,U-DEC,75.0,170.0,1.91,77.11
Pablo Garza,Orthodox,,,,None,73.0,145.0,1.85,65.77
Azamat Gashimov,Orthodox,0.0,1.5,115.0,SUB Armbar,66.0,125.0,1.68,56.7
Brian Gassaway,Orthodox,0.0,1.5,203.0,KO/TKO Punches,73.0,170.0,1.85,77.11
Kelvin Gastelum,Southpaw,1.4444444444444444,3.0,267.0,U-DEC,69.0,185.0,1.75,83.91
Willie Gates,Orthodox,0.3333333333333333,2.25,182.0,KO/TKO Punches,68.0,125.0,1.73,56.7
Melissa Gatto,Orthodox,1.5,2.8,196.0,KO/TKO Kick,65.0,125.0,1.65,56.7
Louis Gaudinot,Orthodox,0.3333333333333333,3.0,271.0,U-DEC,63.0,125.0,1.6,56.7
Manuel Gaxhja,Switch,,,,None,68.0,155.0,1.73,70.31
Charlene Gellner,,0.0,2.0,237.0,KO/TKO Knee,62.0,125.0,1.57,56.7
Chad George,Southpaw,0.5,2.3333333333333335,210.0,U-DEC,66.0,135.0,1.68,61.23
Paul Georgieff,Orthodox,0.0,1.0,282.0,SUB Rear Naked Choke,74.0,170.0,1.88,77.11
Brian Geraghty,Orthodox,0.0,1.0,129.0,KO/TKO Punches,67.0,155.0,1.7,70.31
Derek Getzel,,,,,None,72.0,155.0,1.83,70.31
Karine Gevorgyan,,0.0,1.0,100.0,SUB Armbar,64.0,125.0,1.63,56.7
Darrel Gholar,Orthodox,0.0,1.0,477.0,SUB Rear Naked Choke,68.0,194.0,1.73,88.0
Tiki Ghosn,Orthodox,0.42857142857142855,2.1,167.0,KO/TKO,70.0,170.0,1.78,77.11
Christos Giagos,Orthodox,,,,None,70.0,155.0,1.78,70.31
Joe Giannetti,Southpaw,0.0,3.0,300.0,S-DEC,72.0,155.0,1.83,70.31
Nick Gibbons,,,,,None,70.0,155.0,1.78,70.31
James Giboo,Orthodox,0.0,2.0,149.0,KO/TKO Punches,71.0,170.0,1.8,77.11
Lance Gibson,Orthodox,1.0,2.0,256.0,KO/TKO Knee,69.0,185.0,1.75,83.91
Lee Gibson,,,1.0,279.0,KO/TKO,67.0,155.0,1.7,70.31
Cody Gibson,Orthodox,0.2,2.5,255.0,U-DEC,70.0,135.0,1.78,61.23
Chase Gibson,Orthodox,0.0,3.0,300.0,U-DEC,70.0,155.0,1.78,70.31
Kenny Giddens,,,,,None,71.0,155.0,1.8,70.31
Thomas Gifford,Orthodox,0.0,3.0,292.0,KO/TKO Punch,73.0,155.0,1.85,70.31
Joseph Gigliotti,Orthodox,0.0,2.0,276.0,SUB Anaconda Choke,71.0,185.0,1.8,83.91
Joey Gilbert,Orthodox,0.0,1.0,297.0,KO/TKO Punches,71.0,155.0,1.8,70.31
Trevin Giles,Orthodox,1.1666666666666667,2.4615384615384617,201.0,KO/TKO Punches,72.0,185.0,1.83,83.91
Kultar Gill,Orthodox,0.0,1.5,226.0,SUB Armbar,72.0,154.0,1.83,69.85
Jesse Gillespie,,1.0,2.0,114.0,S-DEC,,185.0,,83.91
Gregor Gillespie,Orthodox,7.0,1.75,217.0,KO/TKO Punches,67.0,155.0,1.7,70.31
Jason Gilliam,Orthodox,0.0,1.0,114.0,SUB Triangle Choke,72.0,170.0,1.83,77.11
Micheal Gillmore,Orthodox,0.0,2.0,157.0,KO/TKO Elbows,71.0,170.0,1.8,77.11
Krishaun Gilmore,,0.0,2.0,226.0,SUB Rear Naked Choke,,,,
Alex Gilpin,Orthodox,,,,None,67.0,145.0,1.7,65.77
Bob Gilstrap,Orthodox,0.0,1.0,52.0,SUB Triangle Choke,75.0,200.0,1.91,90.72
Demetrius Gioulacos,,,,,None,71.0,185.0,1.8,83.91
Billy Giovanella,,,,,None,68.0,125.0,1.73,56.7
He-Man Gipson,,0.0,1.0,186.0,KO/TKO Headbutts,,,,
Israel Giron,,,,,None,68.0,155.0,1.73,70.31
Brandon Girtz,,,,,None,67.0,155.0,1.7,70.31
Jason Glaza,,,,,None,72.0,230.0,1.83,104.33
Mike Glenn,,,1.0,120.0,KO/TKO,,205.0,,92.99
Ricky Glenn,Southpaw,0.8,2.6666666666666665,265.0,U-DEC,72.0,155.0,1.83,70.31
Mark Godbeer,Orthodox,1.0,1.75,243.0,SUB Rear Naked Choke,76.0,240.0,1.93,108.86
Clint Godfrey,Southpaw,0.0,2.0,231.0,SUB Armbar,66.0,135.0,1.68,61.23
Loopy Godinez,Orthodox,1.75,2.727272727272727,288.0,U-DEC,62.0,115.0,1.57,52.16
Jason Godsey,Orthodox,0.0,1.0,122.0,SUB Kneebar,74.0,230.0,1.88,104.33
Allan Goes,Orthodox,0.6666666666666666,2.4,412.0,KO/TKO Knees,72.0,205.0,1.83,92.99
Jonny Goh,,0.0,3.0,300.0,U-DEC,71.0,155.0,1.8,70.31
Hannah Goldy,Orthodox,0.5,2.3333333333333335,281.0,U-DEC,64.0,115.0,1.63,52.16
Marcelo Golm,Orthodox,0.3333333333333333,2.0,198.0,U-DEC,75.0,249.0,1.91,112.94
Sergio Gomez,Orthodox,0.0,2.5,250.0,SUB Guillotine Choke,66.0,155.0,1.68,70.31
Frank Gomez,Orthodox,1.0,2.25,215.0,U-DEC,70.0,135.0,1.78,61.23
Alan Gomez,,,3.0,300.0,U-DEC,,155.0,,70.31
David Gomez,,,3.0,300.0,U-DEC,,155.0,,70.31
Ulysses Gomez,Orthodox,0.0,2.0,263.0,KO/TKO Elbow,66.0,125.0,1.68,56.7
Joey Gomez,Orthodox,0.0,2.5,276.0,KO/TKO Punches,70.0,135.0,1.78,61.23
Luis Gomez,Orthodox,0.0,3.0,203.0,SUB Rear Naked Choke,67.0,145.0,1.7,65.77
Joey Gomez,Orthodox,0.0,3.0,300.0,S-DEC,70.0,155.0,1.78,70.31
Edson Gomez,Switch,0.0,2.0,151.0,KO/TKO Kick,68.0,170.0,1.73,77.11
Silvana Gomez Juarez,Orthodox,0.3333333333333333,1.5,195.0,SUB Armbar,63.0,115.0,1.6,52.16
Takanori Gomi,Southpaw,1.5454545454545454,1.6071428571428572,240.0,KO/TKO Punches,67.0,155.0,1.7,70.31
Akihiro Gono,Switch,1.6,1.9230769230769231,335.0,U-DEC,67.0,170.0,1.7,77.11
Gabriel Gonzaga,Orthodox,1.0909090909090908,1.7391304347826086,168.0,KO/TKO Punch,74.0,242.0,1.88,109.77
Justin Gonzales,Orthodox,,3.0,300.0,U-DEC,69.0,145.0,1.75,65.77
Fernando Gonzalez,Southpaw,0.3333333333333333,2.25,242.0,S-DEC,69.0,170.0,1.75,77.11
Nick Gonzalez,Orthodox,0.0,1.0,83.0,SUB Rear Naked Choke,66.0,155.0,1.68,70.31
Fabian Gonzalez,,,,,None,70.0,135.0,1.78,61.23
Lewis Gonzalez,Orthodox,0.0,3.0,300.0,U-DEC,70.0,170.0,1.78,77.11
Jason Gonzalez,Southpaw,,,,None,74.0,155.0,1.88,70.31
Pearl Gonzalez,Orthodox,0.0,3.0,262.0,SUB Rear Naked Choke,64.0,115.0,1.63,52.16
Jorge Gonzalez,Orthodox,,,,None,74.0,205.0,1.88,92.99
Mikey Gonzalez,Orthodox,0.0,1.0,132.0,KO/TKO Punches,71.0,155.0,1.8,70.31
Erick Gonzalez,Orthodox,0.0,1.3333333333333333,150.0,KO/TKO Punch,71.0,155.0,1.8,70.31
Jennifer Gonzalez,,,,,None,62.0,125.0,1.57,56.7
Kier Gooch,,0.0,1.0,118.0,SUB Rear Naked Choke,,155.0,,70.31
Lyman Good,Orthodox,1.0,2.1666666666666665,198.0,KO/TKO Punch,72.0,170.0,1.83,77.11
Jared Gooden,Orthodox,0.5,2.5,223.0,U-DEC,72.0,170.0,1.83,77.11
Gary Goodridge,Orthodox,0.875,1.2333333333333334,272.0,KO/TKO Punches,75.0,249.0,1.91,112.94
Jordan Goodwin,,0.0,3.0,300.0,U-DEC,,155.0,,70.31
Gerard Gordeau,Orthodox,2.0,1.0,63.0,KO/TKO Kick,77.0,216.0,1.96,97.98
Eddie Gordon,Orthodox,0.3333333333333333,2.25,209.0,S-DEC,72.0,185.0,1.83,83.91
Jared Gordon,Orthodox,1.3333333333333333,2.5714285714285716,273.0,U-DEC,69.0,145.0,1.75,65.77
Tebaris Gordon,Orthodox,0.0,1.0,17.0,KO/TKO Punch,73.0,265.0,1.85,120.2
Malcolm Gordon,Switch,0.4,1.7142857142857142,158.0,KO/TKO,67.0,125.0,1.7,56.7
Tresean Gore,Switch,0.5,2.0,193.0,SUB Guillotine Choke,72.0,185.0,1.83,83.91
Alex Gorgees,Switch,0.0,3.0,300.0,U-DEC,74.0,155.0,1.88,70.31
Tim Gorman,Southpaw,0.0,3.0,300.0,U-DEC,65.0,135.0,1.65,61.23
Chase Gormley,Orthodox,0.0,1.0,145.0,SUB Triangle Choke,75.0,265.0,1.91,120.2
Jonathan Goulet,Orthodox,0.8,1.6666666666666667,135.0,KO/TKO Punch,72.0,170.0,1.83,77.11
Thibault Gouti,Orthodox,0.2,2.0,189.0,SUB Rear Naked Choke,70.0,155.0,1.78,70.31
Wilson Gouveia,Orthodox,1.5,1.8,159.0,SUB Guillotine Choke,73.0,185.0,1.85,83.91
Todd Gouwenberg,Orthodox,0.0,2.0,274.0,KO/TKO Punches,73.0,205.0,1.85,92.99
Hugo Govea,,0.0,1.0,91.0,SUB Rear Naked Choke,,,,
Justin Governale,,,,,None,,145.0,,65.77
Damian Grabowski,Orthodox,0.0,1.6666666666666667,150.0,KO/TKO Punches,73.0,241.0,1.85,109.32
Royce Gracie,Southpaw,6.5,1.7333333333333334,394.0,SUB Armbar,73.0,175.0,1.85,79.38
Crosley Gracie,Orthodox,1.0,2.0,181.0,SUB Armbar,69.0,190.0,1.75,86.18
Daniel Gracie,Orthodox,2.0,2.0,344.0,S-DEC,74.0,225.0,1.88,102.06
Ralph Gracie,Orthodox,1.0,1.5,153.0,KO/TKO Knee,69.0,183.0,1.75,83.01
Renzo Gracie,Orthodox,0.6666666666666666,3.0,352.0,U-DEC,70.0,185.0,1.78,83.91
Rickson Gracie,Switch,,1.0,428.0,SUB Armbar,70.0,185.0,1.78,83.91
Rodrigo Gracie,Orthodox,4.0,2.6,245.0,U-DEC,72.0,183.0,1.83,83.01
Royler Gracie,Southpaw,1.0,1.5,1395.0,SUB Kimura,68.0,150.0,1.73,68.04
Ryan Gracie,Orthodox,2.5,1.1428571428571428,342.0,SUB Armbar,69.0,200.0,1.75,90.72
Ralek Gracie,Orthodox,,2.0,241.0,SUB Armbar,74.0,210.0,1.88,95.25
Rolles Gracie,Orthodox,0.0,2.0,91.0,KO/TKO Punches,76.0,242.0,1.93,109.77
Cesar Gracie,Orthodox,0.0,1.0,21.0,KO/TKO Punch,70.0,181.0,1.78,82.1
Roger Gracie,Orthodox,2.0,2.0,263.0,SUB Rear Naked Choke,76.0,185.0,1.93,83.91
Igor Gracie,,,2.0,184.0,SUB Arm Triangle,71.0,170.0,1.8,77.11
Neiman Gracie,,,,,None,72.0,170.0,1.83,77.11
Kron Gracie,Southpaw,0.5,2.3333333333333335,242.0,U-DEC,69.0,145.0,1.75,65.77
Steven Graham,Orthodox,1.0,1.0,141.0,SUB Keylock,73.0,290.0,1.85,131.54
Scott Graham,Orthodox,2.0,2.3333333333333335,184.0,KO/TKO Punches,76.0,185.0,1.93,83.91
Miranda Granger,Orthodox,0.3333333333333333,2.25,221.0,U-DEC,67.0,125.0,1.7,56.7
TJ Grant,Orthodox,2.6666666666666665,2.4545454545454546,267.0,U-DEC,70.0,155.0,1.78,70.31
Davey Grant,Orthodox,1.0,2.6666666666666665,211.0,S-DEC,68.0,135.0,1.73,61.23
Dwight Grant,Switch,0.8,2.3333333333333335,258.0,S-DEC,73.0,170.0,1.85,77.11
Alexa Grasso,Orthodox,2.6666666666666665,3.3636363636363638,306.0,U-DEC,65.0,125.0,1.65,56.7
Tony Gravely,Orthodox,1.25,2.5555555555555554,199.0,KO/TKO Punches,65.0,135.0,1.65,61.23
Michael Graves,Orthodox,,4.0,375.0,SUB Rear Naked Choke,70.0,170.0,1.78,77.11
Shelton Graves,Southpaw,,3.0,140.0,KO/TKO Knees,74.0,255.0,1.88,115.67
James Gray,Orthodox,0.0,1.0,46.0,KO/TKO Elbows,69.0,135.0,1.75,61.23
Kevin Gray,Orthodox,0.0,1.0,174.0,SUB Anaconda Choke,64.0,125.0,1.63,56.7
Sam Greco,Orthodox,0.0,3.0,300.0,S-DEC,74.0,205.0,1.88,92.99
Bobby Green,Orthodox,1.4166666666666667,2.586206896551724,274.0,U-DEC,70.0,155.0,1.78,70.31
Desmond Green,Southpaw,1.3333333333333333,2.7142857142857144,281.0,U-DEC,70.0,155.0,1.78,70.31
Gabe Green,Switch,0.6666666666666666,2.4,231.0,U-DEC,70.0,170.0,1.78,77.11
Maurice Greene,Orthodox,1.0,2.0,207.0,KO/TKO Punches,79.0,258.0,2.01,117.03
Matt Grice,Orthodox,0.4,1.8571428571428572,271.0,SUB Guillotine Choke,68.0,145.0,1.73,65.77
